uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,1,2017-06-24T13:15:22.478Z,0,1,pretraining,countryside,1,2,F_pretraining_balle,,F3_pretraining_moutte,,,,,,2608,F_pretraining_balle,CENTER_RIGHT,F_pretraining_balle,CENTER_RIGHT,1122,touch_object,1,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,2,2017-06-24T13:15:34.124Z,0,1,pretraining,countryside,2,2,F_pretraining_coeur,,F3_pretraining_kime,,,,,,3893,F3_pretraining_kime,CENTER_RIGHT,F3_pretraining_kime,CENTER_RIGHT,8416,touch_object,1,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,3,2017-06-24T13:15:54.365Z,0,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,1747,F3_pretraining_pouque,CENTER_LEFT,F3_pretraining_pouque,CENTER_LEFT,6331,touch_object,1,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,4,2017-06-24T13:16:14.107Z,1,2,training1,countryside,1,2,F_training_place_couette,,F3_training_place_couepe,,,,,,1068,F3_training_place_couepe,CENTER_RIGHT,F_training_place_couette,CENTER_LEFT,2047,touch_object,0,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,5,2017-06-24T13:16:25.101Z,1,2,training1,countryside,1,2,F_training_place_couette,,F3_training_place_couepe,,,,,,1066,F3_training_place_couepe,CENTER_RIGHT,F_training_place_couette,CENTER_LEFT,2059,touch_object,0,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,6,2017-06-24T13:16:36.137Z,0,2,training1,countryside,1,2,F_training_place_couette,,F3_training_place_couepe,,,,,,1252,F3_training_place_couepe,CENTER_RIGHT,F3_training_place_couepe,CENTER_RIGHT,1137,touch_object,1,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,7,2017-06-24T13:16:46.436Z,0,2,training1,countryside,2,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,2748,F_training_voicing_bouche,CENTER_LEFT,F_training_voicing_bouche,CENTER_LEFT,1431,touch_object,1,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,8,2017-06-24T13:16:58.536Z,0,2,training1,countryside,3,2,F_training_voicing_sac,,F3_training_voicing_sague,,,,,,918,F3_training_voicing_sague,CENTER_LEFT,F3_training_voicing_sague,CENTER_LEFT,2427,touch_object,1,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,9,2017-06-24T13:17:12.346Z,0,3,training2,countryside,1,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,1038,F_training_voicing_glace,CENTER_RIGHT,F_training_voicing_glace,CENTER_RIGHT,1114,touch_object,1,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,10,2017-06-24T13:17:22.387Z,0,3,training2,countryside,2,2,F_training_voicing_lampe,,F3_training_voicing_lambe,,,,,,783,F3_training_voicing_lambe,CENTER_RIGHT,F3_training_voicing_lambe,CENTER_RIGHT,2109,touch_object,1,0
D65E163C47F142D6905D5C6FB5E4CF7B,Unknown,2017-06-24,"",Children_Assim_french_training_4,1609,1,2017-06-24T13:15:22.000Z,2017-06-24T13:17:50.000Z,11,2017-06-24T13:17:33.172Z,0,3,training2,countryside,3,2,F_training_place_plante,,F3_training_place_plampe,,,,,,5107,F_training_place_plante,CENTER_LEFT,F_training_place_plante,CENTER_LEFT,1709,touch_object,1,0
