uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
17AF75870594473A8E88D39B9D5CAAE1,Unknown,2018-02-22,"",Children_Assim_french_training_3,1625,1,2018-02-22T17:26:40.000Z,2018-02-22T17:28:33.000Z,1,2018-02-22T17:26:40.029Z,0,1,pretraining,countryside,1,2,F_pretraining_balle,,F3_pretraining_moutte,,,,,,2634,F_pretraining_balle,CENTER_LEFT,F_pretraining_balle,CENTER_LEFT,1776,touch_object,1,0
17AF75870594473A8E88D39B9D5CAAE1,Unknown,2018-02-22,"",Children_Assim_french_training_3,1625,1,2018-02-22T17:26:40.000Z,2018-02-22T17:28:33.000Z,2,2018-02-22T17:26:52.376Z,0,1,pretraining,countryside,2,2,F_pretraining_coeur,,F3_pretraining_kime,,,,,,960,F3_pretraining_kime,CENTER_LEFT,F3_pretraining_kime,CENTER_LEFT,3330,touch_object,1,0
17AF75870594473A8E88D39B9D5CAAE1,Unknown,2018-02-22,"",Children_Assim_french_training_3,1625,1,2018-02-22T17:26:40.000Z,2018-02-22T17:28:33.000Z,3,2018-02-22T17:27:04.532Z,0,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,3161,F3_pretraining_pouque,CENTER_RIGHT,F3_pretraining_pouque,CENTER_RIGHT,3788,touch_object,1,0
17AF75870594473A8E88D39B9D5CAAE1,Unknown,2018-02-22,"",Children_Assim_french_training_3,1625,1,2018-02-22T17:26:40.000Z,2018-02-22T17:28:33.000Z,4,2018-02-22T17:27:23.682Z,0,2,training1,countryside,1,2,F_training_place_couette,,F3_training_place_couepe,,,,,,1693,F_training_place_couette,CENTER_RIGHT,F_training_place_couette,CENTER_RIGHT,1962,touch_object,1,0
17AF75870594473A8E88D39B9D5CAAE1,Unknown,2018-02-22,"",Children_Assim_french_training_3,1625,1,2018-02-22T17:26:40.000Z,2018-02-22T17:28:33.000Z,5,2018-02-22T17:27:35.217Z,0,2,training1,countryside,2,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,909,F3_training_voicing_glaze,CENTER_LEFT,F3_training_voicing_glaze,CENTER_LEFT,1946,touch_object,1,0
17AF75870594473A8E88D39B9D5CAAE1,Unknown,2018-02-22,"",Children_Assim_french_training_3,1625,1,2018-02-22T17:26:40.000Z,2018-02-22T17:28:33.000Z,6,2018-02-22T17:27:45.951Z,0,2,training1,countryside,3,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,1529,F3_training_voicing_bouge,CENTER_RIGHT,F3_training_voicing_bouge,CENTER_RIGHT,1464,touch_object,1,0
17AF75870594473A8E88D39B9D5CAAE1,Unknown,2018-02-22,"",Children_Assim_french_training_3,1625,1,2018-02-22T17:26:40.000Z,2018-02-22T17:28:33.000Z,7,2018-02-22T17:27:59.548Z,0,3,training2,countryside,1,2,F_training_voicing_sac,,F3_training_voicing_sague,,,,,,1159,F_training_voicing_sac,CENTER_LEFT,F_training_voicing_sac,CENTER_LEFT,2130,touch_object,1,0
17AF75870594473A8E88D39B9D5CAAE1,Unknown,2018-02-22,"",Children_Assim_french_training_3,1625,1,2018-02-22T17:26:40.000Z,2018-02-22T17:28:33.000Z,8,2018-02-22T17:28:10.752Z,0,3,training2,countryside,2,2,F_training_place_plante,,F3_training_place_plampe,,,,,,877,F3_training_place_plampe,CENTER_LEFT,F3_training_place_plampe,CENTER_LEFT,1629,touch_object,1,0
17AF75870594473A8E88D39B9D5CAAE1,Unknown,2018-02-22,"",Children_Assim_french_training_3,1625,1,2018-02-22T17:26:40.000Z,2018-02-22T17:28:33.000Z,9,2018-02-22T17:28:21.103Z,0,3,training2,countryside,3,2,F_training_voicing_lampe,,F3_training_voicing_lambe,,,,,,676,F_training_voicing_lampe,CENTER_RIGHT,F_training_voicing_lampe,CENTER_RIGHT,1678,touch_object,1,0
