uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
73A6DB633C094A6E8CCAF0E37A6A08C3,Unknown,2017-05-27,"",Children_Assim_french_training_4,1603,1,2017-05-27T09:21:09.000Z,2017-05-27T09:23:22.000Z,1,2017-05-27T09:21:10.047Z,0,1,pretraining,countryside,1,2,F_pretraining_balle,,F3_pretraining_moutte,,,,,,3141,F_pretraining_balle,CENTER_RIGHT,F_pretraining_balle,CENTER_RIGHT,1621,touch_object,1,0
73A6DB633C094A6E8CCAF0E37A6A08C3,Unknown,2017-05-27,"",Children_Assim_french_training_4,1603,1,2017-05-27T09:21:09.000Z,2017-05-27T09:23:22.000Z,2,2017-05-27T09:21:22.710Z,0,1,pretraining,countryside,2,2,F_pretraining_coeur,,F3_pretraining_kime,,,,,,2535,F3_pretraining_kime,CENTER_RIGHT,F3_pretraining_kime,CENTER_RIGHT,11710,touch_object,1,0
73A6DB633C094A6E8CCAF0E37A6A08C3,Unknown,2017-05-27,"",Children_Assim_french_training_4,1603,1,2017-05-27T09:21:09.000Z,2017-05-27T09:23:22.000Z,3,2017-05-27T09:21:44.894Z,0,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,2694,F3_pretraining_pouque,CENTER_LEFT,F3_pretraining_pouque,CENTER_LEFT,3508,touch_object,1,0
73A6DB633C094A6E8CCAF0E37A6A08C3,Unknown,2017-05-27,"",Children_Assim_french_training_4,1603,1,2017-05-27T09:21:09.000Z,2017-05-27T09:23:22.000Z,4,2017-05-27T09:22:03.855Z,0,2,training1,countryside,1,2,F_training_place_couette,,F3_training_place_couepe,,,,,,2230,F3_training_place_couepe,CENTER_RIGHT,F3_training_place_couepe,CENTER_RIGHT,4522,touch_object,1,0
73A6DB633C094A6E8CCAF0E37A6A08C3,Unknown,2017-05-27,"",Children_Assim_french_training_4,1603,1,2017-05-27T09:21:09.000Z,2017-05-27T09:23:22.000Z,5,2017-05-27T09:22:18.497Z,0,2,training1,countryside,2,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,3859,F_training_voicing_bouche,CENTER_LEFT,F_training_voicing_bouche,CENTER_LEFT,3124,touch_object,1,0
73A6DB633C094A6E8CCAF0E37A6A08C3,Unknown,2017-05-27,"",Children_Assim_french_training_4,1603,1,2017-05-27T09:21:09.000Z,2017-05-27T09:23:22.000Z,6,2017-05-27T09:22:33.380Z,0,2,training1,countryside,3,2,F_training_voicing_sac,,F3_training_voicing_sague,,,,,,2449,F3_training_voicing_sague,CENTER_LEFT,F3_training_voicing_sague,CENTER_LEFT,1685,touch_object,1,0
73A6DB633C094A6E8CCAF0E37A6A08C3,Unknown,2017-05-27,"",Children_Assim_french_training_4,1603,1,2017-05-27T09:21:09.000Z,2017-05-27T09:23:22.000Z,7,2017-05-27T09:22:46.720Z,0,3,training2,countryside,1,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,2386,F_training_voicing_glace,CENTER_RIGHT,F_training_voicing_glace,CENTER_RIGHT,1474,touch_object,1,0
73A6DB633C094A6E8CCAF0E37A6A08C3,Unknown,2017-05-27,"",Children_Assim_french_training_4,1603,1,2017-05-27T09:21:09.000Z,2017-05-27T09:23:22.000Z,8,2017-05-27T09:22:58.481Z,0,3,training2,countryside,2,2,F_training_voicing_lampe,,F3_training_voicing_lambe,,,,,,1667,F3_training_voicing_lambe,CENTER_RIGHT,F3_training_voicing_lambe,CENTER_RIGHT,1488,touch_object,1,0
73A6DB633C094A6E8CCAF0E37A6A08C3,Unknown,2017-05-27,"",Children_Assim_french_training_4,1603,1,2017-05-27T09:21:09.000Z,2017-05-27T09:23:22.000Z,9,2017-05-27T09:23:09.566Z,0,3,training2,countryside,3,2,F_training_place_plante,,F3_training_place_plampe,,,,,,1542,F_training_place_plante,CENTER_LEFT,F_training_place_plante,CENTER_LEFT,1781,touch_object,1,0
