uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,1,2017-06-05T08:29:07.435Z,0,1,pretraining,countryside,1,2,F_pretraining_balle,,F3_pretraining_moutte,,,,,,5039,F_pretraining_balle,CENTER_RIGHT,F_pretraining_balle,CENTER_RIGHT,1090,touch_object,1,0
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,2,2017-06-05T08:29:21.422Z,0,1,pretraining,countryside,2,2,F_pretraining_coeur,,F3_pretraining_kime,,,,,,1222,F3_pretraining_kime,CENTER_RIGHT,F3_pretraining_kime,CENTER_RIGHT,2139,touch_object,1,0
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,3,2017-06-05T08:29:32.722Z,0,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,950,F3_pretraining_pouque,CENTER_LEFT,F3_pretraining_pouque,CENTER_LEFT,1895,touch_object,1,0
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,4,2017-06-05T08:29:48.314Z,1,2,training1,countryside,1,2,F_training_place_couette,,F3_training_place_couepe,,,,,,665,F3_training_place_couepe,CENTER_RIGHT,F_training_place_couette,CENTER_LEFT,1929,touch_object,0,0
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,5,2017-06-05T08:29:58.823Z,0,2,training1,countryside,1,2,F_training_place_couette,,F3_training_place_couepe,,,,,,1202,F3_training_place_couepe,CENTER_RIGHT,F3_training_place_couepe,CENTER_RIGHT,9292,touch_object,1,0
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,6,2017-06-05T08:30:17.256Z,0,2,training1,countryside,2,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,751,F_training_voicing_bouche,CENTER_LEFT,F_training_voicing_bouche,CENTER_LEFT,2076,touch_object,1,0
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,7,2017-06-05T08:30:27.980Z,0,2,training1,countryside,3,2,F_training_voicing_sac,,F3_training_voicing_sague,,,,,,890,F3_training_voicing_sague,CENTER_LEFT,F3_training_voicing_sague,CENTER_LEFT,1510,touch_object,1,0
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,8,2017-06-05T08:30:39.036Z,0,3,training2,countryside,1,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,2005,F_training_voicing_glace,CENTER_RIGHT,F_training_voicing_glace,CENTER_RIGHT,1106,touch_object,1,0
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,9,2017-06-05T08:30:50.091Z,0,3,training2,countryside,2,2,F_training_voicing_lampe,,F3_training_voicing_lambe,,,,,,657,F3_training_voicing_lambe,CENTER_RIGHT,F3_training_voicing_lambe,CENTER_RIGHT,2889,touch_object,1,0
BD0817BF868F43CEA51A339F58A5FEDE,Unknown,2017-06-05,"",Children_Assim_french_training_4,1604,1,2017-06-05T08:29:07.000Z,2017-06-05T08:31:14.000Z,10,2017-06-05T08:31:01.594Z,0,3,training2,countryside,3,2,F_training_place_plante,,F3_training_place_plampe,,,,,,880,F_training_place_plante,CENTER_LEFT,F_training_place_plante,CENTER_LEFT,2156,touch_object,1,0
