uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,1,2017-12-02T14:03:07.993Z,0,1,pretraining,countryside,1,2,F_pretraining_balle,,F3_pretraining_moutte,,,,,,2023,F_pretraining_balle,CENTER_RIGHT,F_pretraining_balle,CENTER_RIGHT,2863,touch_object,1,0
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,2,2017-12-02T14:03:20.875Z,0,1,pretraining,countryside,2,2,F_pretraining_coeur,,F3_pretraining_kime,,,,,,2159,F3_pretraining_kime,CENTER_RIGHT,F3_pretraining_kime,CENTER_RIGHT,2345,touch_object,1,0
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,3,2017-12-02T14:03:33.254Z,0,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,1507,F3_pretraining_pouque,CENTER_LEFT,F3_pretraining_pouque,CENTER_LEFT,2112,touch_object,1,0
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,4,2017-12-02T14:03:47.872Z,0,2,training1,countryside,1,2,F_training_voicing_sac,,F3_training_voicing_sague,,,,,,856,F3_training_voicing_sague,CENTER_RIGHT,F3_training_voicing_sague,CENTER_RIGHT,4428,touch_object,1,0
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,5,2017-12-02T14:04:01.072Z,0,2,training1,countryside,2,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,970,F_training_voicing_bouche,CENTER_LEFT,F_training_voicing_bouche,CENTER_LEFT,1696,touch_object,1,0
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,6,2017-12-02T14:04:11.622Z,1,2,training1,countryside,3,2,F_training_place_couette,,F3_training_place_couepe,,,,,,1025,F3_training_place_couepe,CENTER_LEFT,F_training_place_couette,CENTER_RIGHT,1626,touch_object,0,0
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,7,2017-12-02T14:04:22.140Z,0,2,training1,countryside,3,2,F_training_place_couette,,F3_training_place_couepe,,,,,,3789,F3_training_place_couepe,CENTER_LEFT,F3_training_place_couepe,CENTER_LEFT,1611,touch_object,1,0
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,8,2017-12-02T14:04:42.043Z,0,3,training2,countryside,1,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,1387,F_training_voicing_glace,CENTER_RIGHT,F_training_voicing_glace,CENTER_RIGHT,1344,touch_object,1,0
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,9,2017-12-02T14:04:52.677Z,0,3,training2,countryside,2,2,F_training_voicing_lampe,,F3_training_voicing_lambe,,,,,,1109,F3_training_voicing_lambe,CENTER_LEFT,F3_training_voicing_lambe,CENTER_LEFT,1778,touch_object,1,0
D44782145CFF429080754AD442B29B43,Unknown,2017-12-02,"",Children_Assim_french_training_4,1620,1,2017-12-02T14:03:08.000Z,2017-12-02T14:05:15.000Z,10,2017-12-02T14:05:03.426Z,0,3,training2,countryside,3,2,F_training_place_plante,,F3_training_place_plampe,,,,,,1075,F_training_place_plante,CENTER_LEFT,F_training_place_plante,CENTER_LEFT,1635,touch_object,1,0
