subject_id,age,sex
1600,72.46,M
1601,66.83,M
1602,66.00,M
1603,66.66,M
1604,68.69,M
1605,68.39,F
1606,68.33,F
1607,76.56,F
1608,77.40,F
1609,69.17,M
1610,73.63,M
1611,77.13,M
1612,71.92,M
1613,74.50,M
1614,69.30,F
1615,67.87,F
1616,67.00,F
1617,71.57,F
1618,71.00,M
1619,67.30,F
1620,75.33,M
1621,74.30,M
1622,74.59,F
1623,73.79,F
1624,79.39,M
1625,68.46,M
