uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,1,2017-03-30T08:03:12.498Z,0,1,pretraining,countryside,1,2,F_pretraining_balle,,F3_pretraining_moutte,,,,,,3220,F_pretraining_balle,CENTER_RIGHT,F_pretraining_balle,CENTER_RIGHT,4408,touch_object,1,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,2,2017-03-30T08:03:28.044Z,0,1,pretraining,countryside,2,2,F_pretraining_coeur,,F3_pretraining_kime,,,,,,1588,F3_pretraining_kime,CENTER_RIGHT,F3_pretraining_kime,CENTER_RIGHT,28096,touch_object,1,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,3,2017-03-30T08:04:05.645Z,0,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,3087,F3_pretraining_pouque,CENTER_LEFT,F3_pretraining_pouque,CENTER_LEFT,2973,touch_object,1,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,4,2017-03-30T08:04:24.220Z,1,2,training1,countryside,1,2,F_training_place_tete,,F3_training_place_tepe,,,,,,1501,F3_training_place_tepe,CENTER_RIGHT,F_training_place_tete,CENTER_LEFT,5241,touch_object,0,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,5,2017-03-30T08:04:38.830Z,1,2,training1,countryside,1,2,F_training_place_tete,,F3_training_place_tepe,,,,,,2086,F3_training_place_tepe,CENTER_RIGHT,F_training_place_tete,CENTER_LEFT,17214,touch_object,0,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,6,2017-03-30T08:05:06.049Z,0,2,training1,countryside,1,2,F_training_place_tete,,F3_training_place_tepe,,,,,,1640,F3_training_place_tepe,CENTER_RIGHT,F3_training_place_tepe,CENTER_RIGHT,12801,touch_object,1,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,7,2017-03-30T08:05:28.418Z,1,2,training1,countryside,2,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,3603,F_training_voicing_bouche,CENTER_LEFT,F3_training_voicing_bouge,CENTER_RIGHT,3298,touch_object,0,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,8,2017-03-30T08:05:43.234Z,0,2,training1,countryside,2,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,2676,F_training_voicing_bouche,CENTER_LEFT,F_training_voicing_bouche,CENTER_LEFT,19418,touch_object,1,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,9,2017-03-30T08:06:13.235Z,0,2,training1,countryside,3,2,F_training_voicing_sac,,F3_training_voicing_sague,,,,,,1962,F3_training_voicing_sague,CENTER_LEFT,F3_training_voicing_sague,CENTER_LEFT,3584,touch_object,1,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,10,2017-03-30T08:06:29.844Z,0,3,training2,countryside,1,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,1385,F_training_voicing_glace,CENTER_RIGHT,F_training_voicing_glace,CENTER_RIGHT,15986,touch_object,1,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,11,2017-03-30T08:06:55.087Z,0,3,training2,countryside,2,2,F_training_voicing_lampe,,F3_training_voicing_lambe,,,,,,1658,F3_training_voicing_lambe,CENTER_RIGHT,F3_training_voicing_lambe,CENTER_RIGHT,1841,touch_object,1,0
E1C096775B3C427B8E74125AE6999F61,Unknown,2017-03-30,"",Children_Assim_french_training_4,1123,1,2017-03-30T08:03:12.000Z,2017-03-30T08:07:19.000Z,12,2017-03-30T08:07:06.471Z,0,3,training2,countryside,3,2,F_training_place_plante,,F3_training_place_plampe,,,,,,1154,F_training_place_plante,CENTER_LEFT,F_training_place_plante,CENTER_LEFT,2160,touch_object,1,0
