uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,1,2017-03-30T08:31:30.207Z,0,1,pretraining,countryside,1,2,F_pretraining_balle,,F3_pretraining_moutte,,,,,,2652,F_pretraining_balle,CENTER_LEFT,F_pretraining_balle,CENTER_LEFT,4693,touch_object,1,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,2,2017-03-30T08:31:45.457Z,0,1,pretraining,countryside,2,2,F_pretraining_coeur,,F3_pretraining_kime,,,,,,1033,F3_pretraining_kime,CENTER_LEFT,F3_pretraining_kime,CENTER_LEFT,2076,touch_object,1,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,3,2017-03-30T08:31:56.524Z,0,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,1098,F3_pretraining_pouque,CENTER_RIGHT,F3_pretraining_pouque,CENTER_RIGHT,2157,touch_object,1,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,4,2017-03-30T08:32:12.168Z,0,2,training1,countryside,1,2,F_training_place_tete,,F3_training_place_tepe,,,,,,1980,F_training_place_tete,CENTER_RIGHT,F_training_place_tete,CENTER_RIGHT,1877,touch_object,1,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,5,2017-03-30T08:32:23.941Z,1,2,training1,countryside,2,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,4887,F3_training_voicing_glaze,CENTER_LEFT,F_training_voicing_glace,CENTER_RIGHT,2061,touch_object,0,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,6,2017-03-30T08:32:38.799Z,0,2,training1,countryside,2,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,2694,F3_training_voicing_glaze,CENTER_LEFT,F3_training_voicing_glaze,CENTER_LEFT,1808,touch_object,1,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,7,2017-03-30T08:32:51.242Z,1,2,training1,countryside,3,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,3832,F3_training_voicing_bouge,CENTER_RIGHT,F_training_voicing_bouche,CENTER_LEFT,5558,touch_object,0,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,8,2017-03-30T08:33:08.577Z,0,2,training1,countryside,3,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,3779,F3_training_voicing_bouge,CENTER_RIGHT,F3_training_voicing_bouge,CENTER_RIGHT,1540,touch_object,1,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,9,2017-03-30T08:33:26.373Z,0,3,training2,countryside,1,2,F_training_voicing_sac,,F3_training_voicing_sague,,,,,,1285,F_training_voicing_sac,CENTER_LEFT,F_training_voicing_sac,CENTER_LEFT,2249,touch_object,1,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,10,2017-03-30T08:33:37.812Z,0,3,training2,countryside,2,2,F_training_place_plante,,F3_training_place_plampe,,,,,,1083,F3_training_place_plampe,CENTER_LEFT,F3_training_place_plampe,CENTER_LEFT,1651,touch_object,1,0
F25B948AF88A400A98DB6C9EA282CB03,Unknown,2017-03-30,"",Children_Assim_french_training_3,1125,1,2017-03-30T08:31:30.000Z,2017-03-30T08:34:01.000Z,11,2017-03-30T08:33:48.447Z,0,3,training2,countryside,3,2,F_training_voicing_lampe,,F3_training_voicing_lambe,,,,,,740,F_training_voicing_lampe,CENTER_RIGHT,F_training_voicing_lampe,CENTER_RIGHT,1718,touch_object,1,0
