uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,1,2017-04-26T16:12:23.712Z,0,1,pretraining,countryside,1,2,F_pretraining_balle,,F3_pretraining_moutte,,,,,,2667,F_pretraining_balle,CENTER_LEFT,F_pretraining_balle,CENTER_LEFT,1657,touch_object,1,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,2,2017-04-26T16:12:35.914Z,0,1,pretraining,countryside,2,2,F_pretraining_coeur,,F3_pretraining_kime,,,,,,2453,F3_pretraining_kime,CENTER_LEFT,F3_pretraining_kime,CENTER_LEFT,7419,touch_object,1,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,3,2017-04-26T16:12:53.748Z,1,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,3008,F3_pretraining_pouque,CENTER_RIGHT,F_pretraining_poule,CENTER_LEFT,2006,touch_object,0,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,4,2017-04-26T16:13:06.664Z,0,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,4932,F3_pretraining_pouque,CENTER_RIGHT,F3_pretraining_pouque,CENTER_RIGHT,1907,touch_object,1,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,5,2017-04-26T16:13:26.058Z,0,2,training1,countryside,1,2,F_training_place_couette,,F3_training_place_couepe,,,,,,2307,F_training_place_couette,CENTER_RIGHT,F_training_place_couette,CENTER_RIGHT,1756,touch_object,1,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,6,2017-04-26T16:13:38.033Z,1,2,training1,countryside,2,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,914,F3_training_voicing_glaze,CENTER_LEFT,F_training_voicing_glace,CENTER_RIGHT,1043,touch_object,0,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,7,2017-04-26T16:13:47.900Z,0,2,training1,countryside,2,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,2760,F3_training_voicing_glaze,CENTER_LEFT,F3_training_voicing_glaze,CENTER_LEFT,1774,touch_object,1,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,8,2017-04-26T16:14:00.317Z,0,2,training1,countryside,3,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,1103,F3_training_voicing_bouge,CENTER_RIGHT,F3_training_voicing_bouge,CENTER_RIGHT,1774,touch_object,1,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,9,2017-04-26T16:14:13.196Z,0,3,training2,countryside,1,2,F_training_voicing_sac,,F3_training_voicing_sague,,,,,,1331,F_training_voicing_sac,CENTER_LEFT,F_training_voicing_sac,CENTER_LEFT,1484,touch_object,1,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,10,2017-04-26T16:14:23.919Z,0,3,training2,countryside,2,2,F_training_place_plante,,F3_training_place_plampe,,,,,,1019,F3_training_place_plampe,CENTER_LEFT,F3_training_place_plampe,CENTER_LEFT,1556,touch_object,1,0
E62196114DF542F18F8A37EEC5426B00,Unknown,2017-04-26,"",Children_Assim_french_training_3,1139,1,2017-04-26T16:12:23.000Z,2017-04-26T16:14:46.000Z,11,2017-04-26T16:14:34.403Z,0,3,training2,countryside,3,2,F_training_voicing_lampe,,F3_training_voicing_lambe,,,,,,1292,F_training_voicing_lampe,CENTER_RIGHT,F_training_voicing_lampe,CENTER_RIGHT,1236,touch_object,1,0
