subject_id,word_original,stage,word,knows
1611,assiette,unused,[eng],2
1611,avion,unused,[eng],2
1611,bateau,unused,[eng],2
1611,bisous,unused,[eng],2
1611,boite,test,boipe,2
1611,botte,test,bope,2
1611,bouche,training,bouche,2
1611,brosse,test,broze,2
1611,bus,unused,[eng],2
1611,camion,unused,[eng],2
1611,carte,unused,[eng],2
1611,chaine,test,chaime,2
1611,chaise,test,chaisse,2
1611,chapeau,unused,[eng],2
1611,chaussette,unused,[eng],2
1611,clown,test,clowm,2
1611,corde,test,corbe,2
1611,couche,test,couge,0
1611,couette,training,couette,2
1611,crepe,test,crebe,2
1611,crotte,test,crope,2
1611,cuillere,unused,[eng],2
1611,douche,test,douge,2
1611,fraise,test,fraisse,2
1611,frites,training,frites,2
1611,fruit,unused,[eng],2
1611,gateau,unused,[eng],2
1611,glace,training,glace,2
1611,goutte,test,goupe,2
1611,lait,unused,[eng],2
1611,lampe,training,lampe,2
1611,langue,test,lanque,2
1611,lit,unused,[eng],2
1611,livre,unused,[eng],2
1611,lune,test,lume,2
1611,manteau,unused,[eng],2
1611,monde,test,mombe,2
1611,mouton,unused,[eng],2
1611,noix,unused,[eng],2
1611,nuage,unused,[eng],2
1611,pates,test,papes,2
1611,pied,unused,[eng],2
1611,plante,training,plante,2
1611,porte,test,porde,2
1611,raisin,unused,[eng],2
1611,rat,unused,[eng],2
1611,reine,test,reime,2
1611,robe,test,rope,2
1611,sac,training,sac,2
1611,savon,unused,[eng],2
1611,singe,test,sinche,2
1611,soupe,unused,[eng],2
1611,stylo,unused,[eng],2
1611,tasse,test,taze,2
1611,tete,training,tete,2
1611,train,unused,[eng],2
1611,vache,test,vage,2
1611,ventilateur,unused,[eng],2
1611,viande,test,viambe,2
