subject_id,word_original,stage,word,knows
1613,assiette,unused,[eng],2
1613,avion,unused,[eng],2
1613,bateau,unused,[eng],2
1613,bisous,unused,[eng],2
1613,boite,test,boipe,2
1613,botte,test,bope,2
1613,bouche,training,bouche,2
1613,brosse,test,broze,2
1613,bus,unused,[eng],2
1613,camion,unused,[eng],2
1613,carte,unused,[eng],2
1613,chaine,test,chaime,2
1613,chaise,test,chaisse,2
1613,chapeau,unused,[eng],2
1613,chaussette,unused,[eng],2
1613,clown,test,clowm,2
1613,corde,test,corbe,2
1613,couche,test,couge,2
1613,couette,training,couette,2
1613,crepe,test,crebe,2
1613,crotte,test,crope,2
1613,cuillere,unused,[eng],2
1613,douche,test,douge,2
1613,fraise,test,fraisse,2
1613,frites,training,frites,2
1613,fruit,unused,[eng],2
1613,gateau,unused,[eng],2
1613,glace,training,glace,2
1613,goutte,test,goupe,2
1613,lait,unused,[eng],2
1613,lampe,training,lampe,2
1613,langue,test,lanque,2
1613,lit,unused,[eng],2
1613,livre,unused,[eng],2
1613,lune,test,lume,2
1613,manteau,unused,[eng],2
1613,monde,test,mombe,2
1613,mouton,unused,[eng],2
1613,noix,unused,[eng],2
1613,nuage,unused,[eng],2
1613,pates,test,papes,2
1613,pied,unused,[eng],2
1613,plante,training,plante,2
1613,porte,test,porde,2
1613,raisin,unused,[eng],2
1613,rat,unused,[eng],2
1613,reine,test,reime,2
1613,robe,test,rope,2
1613,sac,training,sac,2
1613,savon,unused,[eng],2
1613,singe,test,sinche,2
1613,soupe,unused,[eng],2
1613,stylo,unused,[eng],2
1613,tasse,test,taze,2
1613,tete,training,tete,2
1613,train,unused,[eng],2
1613,vache,test,vage,2
1613,ventilateur,unused,[eng],2
1613,viande,test,viambe,2
