subject_id,word_original,stage,word,knows
1601,assiette,unused,[eng],2
1601,avion,unused,[eng],2
1601,bateau,unused,[eng],2
1601,bisous,unused,[eng],2
1601,boite,test,boipe,2
1601,botte,test,bope,2
1601,bouche,training,bouche,2
1601,brosse,test,broze,2
1601,bus,unused,[eng],2
1601,camion,unused,[eng],2
1601,carte,unused,[eng],2
1601,chaine,test,chaime,1
1601,chaise,test,chaisse,2
1601,chapeau,unused,[eng],2
1601,chaussette,unused,[eng],2
1601,clown,test,clowm,2
1601,corde,test,corbe,2
1601,couche,test,couge,2
1601,couette,training,couette,2
1601,crepe,test,crebe,2
1601,crotte,test,crope,2
1601,cuillere,unused,[eng],2
1601,douche,test,douge,2
1601,fraise,test,fraisse,2
1601,frites,training,frites,2
1601,fruit,unused,[eng],2
1601,gateau,unused,[eng],2
1601,glace,training,glace,2
1601,goutte,test,goupe,2
1601,lait,unused,[eng],2
1601,lampe,training,lampe,2
1601,langue,test,lanque,2
1601,lit,unused,[eng],2
1601,livre,unused,[eng],2
1601,lune,test,lume,2
1601,manteau,unused,[eng],2
1601,monde,test,mombe,2
1601,mouton,unused,[eng],2
1601,noix,unused,[eng],1
1601,nuage,unused,[eng],2
1601,pates,test,papes,2
1601,pied,unused,[eng],2
1601,plante,training,plante,2
1601,porte,test,porde,2
1601,raisin,unused,[eng],2
1601,rat,unused,[eng],2
1601,reine,test,reime,2
1601,robe,test,rope,2
1601,sac,training,sac,2
1601,savon,unused,[eng],2
1601,singe,test,sinche,2
1601,soupe,unused,[eng],2
1601,stylo,unused,[eng],2
1601,tasse,test,taze,2
1601,tete,training,tete,2
1601,train,unused,[eng],2
1601,vache,test,vage,2
1601,ventilateur,unused,[eng],1
1601,viande,test,viambe,2
