subject_id,word_original,stage,word,knows
1605,assiette,unused,[eng],2
1605,avion,unused,[eng],2
1605,bateau,unused,[eng],2
1605,bisous,unused,[eng],2
1605,boite,test,boipe,2
1605,botte,test,bope,2
1605,bouche,training,bouche,2
1605,brosse,test,broze,2
1605,bus,unused,[eng],2
1605,camion,unused,[eng],2
1605,carte,unused,[eng],2
1605,chaine,test,chaime,1
1605,chaise,test,chaisse,2
1605,chapeau,unused,[eng],2
1605,chaussette,unused,[eng],2
1605,clown,test,clowm,2
1605,corde,test,corbe,2
1605,couche,test,couge,2
1605,couette,training,couette,2
1605,crepe,test,crebe,2
1605,crotte,test,crope,2
1605,cuillere,unused,[eng],2
1605,douche,test,douge,2
1605,fraise,test,fraisse,2
1605,frites,training,frites,2
1605,fruit,unused,[eng],2
1605,gateau,unused,[eng],2
1605,glace,training,glace,2
1605,goutte,test,goupe,2
1605,lait,unused,[eng],2
1605,lampe,training,lampe,1
1605,langue,test,lanque,2
1605,lit,unused,[eng],2
1605,livre,unused,[eng],2
1605,lune,test,lume,2
1605,manteau,unused,[eng],2
1605,monde,test,mombe,2
1605,mouton,unused,[eng],2
1605,noix,unused,[eng],2
1605,nuage,unused,[eng],2
1605,pates,test,papes,2
1605,pied,unused,[eng],2
1605,plante,training,plante,2
1605,porte,test,porde,2
1605,raisin,unused,[eng],2
1605,rat,unused,[eng],2
1605,reine,test,reime,2
1605,robe,test,rope,2
1605,sac,training,sac,2
1605,savon,unused,[eng],2
1605,singe,test,sinche,2
1605,soupe,unused,[eng],2
1605,stylo,unused,[eng],2
1605,tasse,test,taze,2
1605,tete,training,tete,2
1605,train,unused,[eng],2
1605,vache,test,vage,2
1605,ventilateur,unused,[eng],1
1605,viande,test,viambe,2
