subject_id,word_original,stage,word,knows
1610,assiette,unused,[eng],2
1610,avion,unused,[eng],2
1610,bateau,unused,[eng],2
1610,bisous,unused,[eng],2
1610,boite,test,boipe,2
1610,botte,test,bope,2
1610,bouche,training,bouche,2
1610,brosse,test,broze,2
1610,bus,unused,[eng],1
1610,camion,unused,[eng],2
1610,carte,unused,[eng],2
1610,chaine,test,chaime,1
1610,chaise,test,chaisse,2
1610,chapeau,unused,[eng],2
1610,chaussette,unused,[eng],2
1610,clown,test,clowm,2
1610,corde,test,corbe,2
1610,couche,test,couge,1
1610,couette,training,couette,1
1610,crepe,test,crebe,2
1610,crotte,test,crope,1
1610,cuillere,unused,[eng],2
1610,douche,test,douge,2
1610,fraise,test,fraisse,2
1610,frites,training,frites,2
1610,fruit,unused,[eng],2
1610,gateau,unused,[eng],2
1610,glace,training,glace,2
1610,goutte,test,goupe,1
1610,lait,unused,[eng],2
1610,lampe,training,lampe,1
1610,langue,test,lanque,2
1610,lit,unused,[eng],2
1610,livre,unused,[eng],2
1610,lune,test,lume,2
1610,manteau,unused,[eng],2
1610,monde,test,mombe,2
1610,mouton,unused,[eng],2
1610,noix,unused,[eng],1
1610,nuage,unused,[eng],2
1610,pates,test,papes,2
1610,pied,unused,[eng],2
1610,plante,training,plante,2
1610,porte,test,porde,2
1610,raisin,unused,[eng],2
1610,rat,unused,[eng],2
1610,reine,test,reime,1
1610,robe,test,rope,1
1610,sac,training,sac,2
1610,savon,unused,[eng],2
1610,singe,test,sinche,2
1610,soupe,unused,[eng],2
1610,stylo,unused,[eng],2
1610,tasse,test,taze,1
1610,tete,training,tete,2
1610,train,unused,[eng],2
1610,vache,test,vage,2
1610,ventilateur,unused,[eng],1
1610,viande,test,viambe,2
