subject_id,word_original,stage,word,knows
1621,assiette,unused,[eng],2
1621,avion,unused,[eng],2
1621,bateau,unused,[eng],2
1621,bisous,unused,[eng],2
1621,boite,test,boipe,1
1621,botte,test,bope,2
1621,bouche,training,bouche,2
1621,brosse,test,broze,2
1621,bus,unused,[eng],2
1621,camion,unused,[eng],2
1621,carte,unused,[eng],0
1621,chaine,test,chaime,0
1621,chaise,test,chaisse,2
1621,chapeau,unused,[eng],2
1621,chaussette,unused,[eng],2
1621,clown,test,clowm,2
1621,corde,test,corbe,0
1621,couche,test,couge,2
1621,couette,training,couette,2
1621,crepe,test,crebe,2
1621,crotte,test,crope,1
1621,cuillere,unused,[eng],2
1621,douche,test,douge,2
1621,fraise,test,fraisse,2
1621,frites,training,frites,2
1621,fruit,unused,[eng],2
1621,gateau,unused,[eng],2
1621,glace,training,glace,2
1621,goutte,test,goupe,1
1621,lait,unused,[eng],2
1621,lampe,training,lampe,2
1621,langue,test,lanque,2
1621,lit,unused,[eng],2
1621,livre,unused,[eng],2
1621,lune,test,lume,2
1621,manteau,unused,[eng],2
1621,monde,test,mombe,0
1621,mouton,unused,[eng],2
1621,noix,unused,[eng],2
1621,nuage,unused,[eng],2
1621,pates,test,papes,2
1621,pied,unused,[eng],2
1621,plante,training,plante,2
1621,porte,test,porde,2
1621,raisin,unused,[eng],2
1621,rat,unused,[eng],2
1621,reine,test,reime,2
1621,robe,test,rope,2
1621,sac,training,sac,2
1621,savon,unused,[eng],2
1621,singe,test,sinche,2
1621,soupe,unused,[eng],2
1621,stylo,unused,[eng],2
1621,tasse,test,taze,2
1621,tete,training,tete,2
1621,train,unused,[eng],2
1621,vache,test,vage,2
1621,ventilateur,unused,[eng],1
1621,viande,test,viambe,2
