subject_id,word_original,stage,word,knows
1609,assiette,unused,[eng],2
1609,avion,unused,[eng],2
1609,bateau,unused,[eng],2
1609,bisous,unused,[eng],2
1609,boite,test,boipe,2
1609,botte,test,bope,2
1609,bouche,training,bouche,1
1609,brosse,test,broze,2
1609,bus,unused,[eng],2
1609,camion,unused,[eng],1
1609,carte,unused,[eng],2
1609,chaine,test,chaime,1
1609,chaise,test,chaisse,1
1609,chapeau,unused,[eng],2
1609,chaussette,unused,[eng],2
1609,clown,test,clowm,2
1609,corde,test,corbe,1
1609,couche,test,couge,1
1609,couette,training,couette,0
1609,crepe,test,crebe,2
1609,crotte,test,crope,1
1609,cuillere,unused,[eng],2
1609,douche,test,douge,2
1609,fraise,test,fraisse,2
1609,frites,training,frites,1
1609,fruit,unused,[eng],2
1609,gateau,unused,[eng],2
1609,glace,training,glace,2
1609,goutte,test,goupe,1
1609,lait,unused,[eng],2
1609,lampe,training,lampe,1
1609,langue,test,lanque,1
1609,lit,unused,[eng],2
1609,livre,unused,[eng],2
1609,lune,test,lume,1
1609,manteau,unused,[eng],2
1609,monde,test,mombe,2
1609,mouton,unused,[eng],1
1609,noix,unused,[eng],1
1609,nuage,unused,[eng],2
1609,pates,test,papes,2
1609,pied,unused,[eng],2
1609,plante,training,plante,2
1609,porte,test,porde,2
1609,raisin,unused,[eng],1
1609,rat,unused,[eng],2
1609,reine,test,reime,1
1609,robe,test,rope,1
1609,sac,training,sac,1
1609,savon,unused,[eng],1
1609,singe,test,sinche,2
1609,soupe,unused,[eng],2
1609,stylo,unused,[eng],1
1609,tasse,test,taze,1
1609,tete,training,tete,2
1609,train,unused,[eng],2
1609,vache,test,vage,2
1609,ventilateur,unused,[eng],1
1609,viande,test,viambe,2
