subject_id,word_original,stage,word,knows
1608,assiette,unused,[eng],2
1608,avion,unused,[eng],2
1608,bateau,unused,[eng],2
1608,bisous,unused,[eng],2
1608,boite,test,boipe,2
1608,botte,test,bope,2
1608,bouche,training,bouche,2
1608,brosse,test,broze,2
1608,bus,unused,[eng],2
1608,camion,unused,[eng],2
1608,carte,unused,[eng],2
1608,chaine,test,chaime,1
1608,chaise,test,chaisse,2
1608,chapeau,unused,[eng],2
1608,chaussette,unused,[eng],2
1608,clown,test,clowm,2
1608,corde,test,corbe,2
1608,couche,test,couge,2
1608,couette,training,couette,2
1608,crepe,test,crebe,2
1608,crotte,test,crope,2
1608,cuillere,unused,[eng],2
1608,douche,test,douge,2
1608,fraise,test,fraisse,2
1608,frites,training,frites,2
1608,fruit,unused,[eng],2
1608,gateau,unused,[eng],2
1608,glace,training,glace,2
1608,goutte,test,goupe,2
1608,lait,unused,[eng],2
1608,lampe,training,lampe,2
1608,langue,test,lanque,2
1608,lit,unused,[eng],2
1608,livre,unused,[eng],2
1608,lune,test,lume,2
1608,manteau,unused,[eng],2
1608,monde,test,mombe,2
1608,mouton,unused,[eng],2
1608,noix,unused,[eng],2
1608,nuage,unused,[eng],2
1608,pates,test,papes,2
1608,pied,unused,[eng],2
1608,plante,training,plante,2
1608,porte,test,porde,2
1608,raisin,unused,[eng],2
1608,rat,unused,[eng],2
1608,reine,test,reime,2
1608,robe,test,rope,2
1608,sac,training,sac,2
1608,savon,unused,[eng],2
1608,singe,test,sinche,2
1608,soupe,unused,[eng],2
1608,stylo,unused,[eng],2
1608,tasse,test,taze,2
1608,tete,training,tete,2
1608,train,unused,[eng],2
1608,vache,test,vage,2
1608,ventilateur,unused,[eng],2
1608,viande,test,viambe,2
