subject_id,word_original,stage,word,knows
1615,assiette,unused,[eng],2
1615,avion,unused,[eng],2
1615,bateau,unused,[eng],2
1615,bisous,unused,[eng],2
1615,boite,test,boipe,2
1615,botte,test,bope,2
1615,bouche,training,bouche,2
1615,brosse,test,broze,2
1615,bus,unused,[eng],2
1615,camion,unused,[eng],2
1615,carte,unused,[eng],2
1615,chaine,test,chaime,2
1615,chaise,test,chaisse,2
1615,chapeau,unused,[eng],2
1615,chaussette,unused,[eng],2
1615,clown,test,clowm,2
1615,corde,test,corbe,2
1615,couche,test,couge,2
1615,couette,training,couette,2
1615,crepe,test,crebe,2
1615,crotte,test,crope,2
1615,cuillere,unused,[eng],2
1615,douche,test,douge,2
1615,fraise,test,fraisse,2
1615,frites,training,frites,2
1615,fruit,unused,[eng],2
1615,gateau,unused,[eng],2
1615,glace,training,glace,2
1615,goutte,test,goupe,2
1615,lait,unused,[eng],2
1615,lampe,training,lampe,2
1615,langue,test,lanque,2
1615,lit,unused,[eng],2
1615,livre,unused,[eng],2
1615,lune,test,lume,2
1615,manteau,unused,[eng],2
1615,monde,test,mombe,2
1615,mouton,unused,[eng],2
1615,noix,unused,[eng],2
1615,nuage,unused,[eng],2
1615,pates,test,papes,2
1615,pied,unused,[eng],2
1615,plante,training,plante,2
1615,porte,test,porde,2
1615,raisin,unused,[eng],2
1615,rat,unused,[eng],2
1615,reine,test,reime,2
1615,robe,test,rope,2
1615,sac,training,sac,2
1615,savon,unused,[eng],2
1615,singe,test,sinche,2
1615,soupe,unused,[eng],2
1615,stylo,unused,[eng],2
1615,tasse,test,taze,2
1615,tete,training,tete,2
1615,train,unused,[eng],2
1615,vache,test,vage,2
1615,ventilateur,unused,[eng],2
1615,viande,test,viambe,2
