subject_id,word_original,stage,word,knows
1619,assiette,unused,[eng],2
1619,avion,unused,[eng],2
1619,bateau,unused,[eng],2
1619,bisous,unused,[eng],2
1619,boite,test,boipe,2
1619,botte,test,bope,2
1619,bouche,training,bouche,2
1619,brosse,test,broze,2
1619,bus,unused,[eng],2
1619,camion,unused,[eng],2
1619,carte,unused,[eng],2
1619,chaine,test,chaime,1
1619,chaise,test,chaisse,2
1619,chapeau,unused,[eng],2
1619,chaussette,unused,[eng],2
1619,clown,test,clowm,2
1619,corde,test,corbe,2
1619,couche,test,couge,1
1619,couette,training,couette,1
1619,crepe,test,crebe,2
1619,crotte,test,crope,2
1619,cuillere,unused,[eng],2
1619,douche,test,douge,2
1619,fraise,test,fraisse,2
1619,frites,training,frites,2
1619,fruit,unused,[eng],2
1619,gateau,unused,[eng],2
1619,glace,training,glace,2
1619,goutte,test,goupe,1
1619,lait,unused,[eng],2
1619,lampe,training,lampe,2
1619,langue,test,lanque,2
1619,lit,unused,[eng],2
1619,livre,unused,[eng],2
1619,lune,test,lume,2
1619,manteau,unused,[eng],2
1619,monde,test,mombe,2
1619,mouton,unused,[eng],2
1619,noix,unused,[eng],1
1619,nuage,unused,[eng],2
1619,pates,test,papes,2
1619,pied,unused,[eng],2
1619,plante,training,plante,2
1619,porte,test,porde,2
1619,raisin,unused,[eng],2
1619,rat,unused,[eng],2
1619,reine,test,reime,2
1619,robe,test,rope,2
1619,sac,training,sac,2
1619,savon,unused,[eng],2
1619,singe,test,sinche,2
1619,soupe,unused,[eng],2
1619,stylo,unused,[eng],2
1619,tasse,test,taze,2
1619,tete,training,tete,2
1619,train,unused,[eng],2
1619,vache,test,vage,2
1619,ventilateur,unused,[eng],1
1619,viande,test,viambe,1
