subject_id,word_original,stage,word,knows
1604,assiette,unused,[eng],2
1604,avion,unused,[eng],2
1604,bateau,unused,[eng],2
1604,bisous,unused,[eng],2
1604,boite,test,boipe,2
1604,botte,test,bope,2
1604,bouche,training,bouche,2
1604,brosse,test,broze,2
1604,bus,unused,[eng],2
1604,camion,unused,[eng],2
1604,carte,unused,[eng],2
1604,chaine,test,chaime,2
1604,chaise,test,chaisse,2
1604,chapeau,unused,[eng],2
1604,chaussette,unused,[eng],2
1604,clown,test,clowm,2
1604,corde,test,corbe,2
1604,couche,test,couge,2
1604,couette,training,couette,1
1604,crepe,test,crebe,2
1604,crotte,test,crope,2
1604,cuillere,unused,[eng],2
1604,douche,test,douge,2
1604,fraise,test,fraisse,2
1604,frites,training,frites,2
1604,fruit,unused,[eng],2
1604,gateau,unused,[eng],2
1604,glace,training,glace,2
1604,goutte,test,goupe,2
1604,lait,unused,[eng],2
1604,lampe,training,lampe,2
1604,langue,test,lanque,2
1604,lit,unused,[eng],2
1604,livre,unused,[eng],2
1604,lune,test,lume,2
1604,manteau,unused,[eng],2
1604,monde,test,mombe,1
1604,mouton,unused,[eng],2
1604,noix,unused,[eng],2
1604,nuage,unused,[eng],2
1604,pates,test,papes,2
1604,pied,unused,[eng],2
1604,plante,training,plante,2
1604,porte,test,porde,2
1604,raisin,unused,[eng],2
1604,rat,unused,[eng],2
1604,reine,test,reime,2
1604,robe,test,rope,2
1604,sac,training,sac,2
1604,savon,unused,[eng],2
1604,singe,test,sinche,2
1604,soupe,unused,[eng],2
1604,stylo,unused,[eng],1
1604,tasse,test,taze,2
1604,tete,training,tete,2
1604,train,unused,[eng],2
1604,vache,test,vage,2
1604,ventilateur,unused,[eng],1
1604,viande,test,viambe,2
