subject_id,word_original,stage,word,knows
1618,assiette,unused,[eng],2
1618,avion,unused,[eng],2
1618,bateau,unused,[eng],2
1618,bisous,unused,[eng],2
1618,boite,test,boipe,2
1618,botte,test,bope,2
1618,bouche,training,bouche,2
1618,brosse,test,broze,2
1618,bus,unused,[eng],2
1618,camion,unused,[eng],2
1618,carte,unused,[eng],2
1618,chaine,test,chaime,0
1618,chaise,test,chaisse,2
1618,chapeau,unused,[eng],2
1618,chaussette,unused,[eng],2
1618,clown,test,clowm,2
1618,corde,test,corbe,2
1618,couche,test,couge,2
1618,couette,training,couette,0
1618,crepe,test,crebe,2
1618,crotte,test,crope,2
1618,cuillere,unused,[eng],2
1618,douche,test,douge,2
1618,fraise,test,fraisse,2
1618,frites,training,frites,2
1618,fruit,unused,[eng],2
1618,gateau,unused,[eng],2
1618,glace,training,glace,2
1618,goutte,test,goupe,2
1618,lait,unused,[eng],2
1618,lampe,training,lampe,2
1618,langue,test,lanque,2
1618,lit,unused,[eng],2
1618,livre,unused,[eng],2
1618,lune,test,lume,2
1618,manteau,unused,[eng],2
1618,monde,test,mombe,2
1618,mouton,unused,[eng],2
1618,noix,unused,[eng],2
1618,nuage,unused,[eng],2
1618,pates,test,papes,2
1618,pied,unused,[eng],2
1618,plante,training,plante,2
1618,porte,test,porde,2
1618,raisin,unused,[eng],2
1618,rat,unused,[eng],2
1618,reine,test,reime,2
1618,robe,test,rope,2
1618,sac,training,sac,2
1618,savon,unused,[eng],2
1618,singe,test,sinche,2
1618,soupe,unused,[eng],2
1618,stylo,unused,[eng],2
1618,tasse,test,taze,2
1618,tete,training,tete,2
1618,train,unused,[eng],2
1618,vache,test,vage,2
1618,ventilateur,unused,[eng],0
1618,viande,test,viambe,2
