subject_id,word_original,stage,word,knows
1606,assiette,unused,[eng],2
1606,avion,unused,[eng],2
1606,bateau,unused,[eng],2
1606,bisous,unused,[eng],2
1606,boite,test,boipe,2
1606,botte,test,bope,2
1606,bouche,training,bouche,2
1606,brosse,test,broze,2
1606,bus,unused,[eng],2
1606,camion,unused,[eng],2
1606,carte,unused,[eng],2
1606,chaine,test,chaime,2
1606,chaise,test,chaisse,2
1606,chapeau,unused,[eng],2
1606,chaussette,unused,[eng],2
1606,clown,test,clowm,2
1606,corde,test,corbe,2
1606,couche,test,couge,2
1606,couette,training,couette,2
1606,crepe,test,crebe,2
1606,crotte,test,crope,2
1606,cuillere,unused,[eng],2
1606,douche,test,douge,2
1606,fraise,test,fraisse,2
1606,frites,training,frites,2
1606,fruit,unused,[eng],2
1606,gateau,unused,[eng],2
1606,glace,training,glace,2
1606,goutte,test,goupe,2
1606,lait,unused,[eng],2
1606,lampe,training,lampe,2
1606,langue,test,lanque,2
1606,lit,unused,[eng],2
1606,livre,unused,[eng],2
1606,lune,test,lume,2
1606,manteau,unused,[eng],2
1606,monde,test,mombe,2
1606,mouton,unused,[eng],2
1606,noix,unused,[eng],2
1606,nuage,unused,[eng],2
1606,pates,test,papes,2
1606,pied,unused,[eng],2
1606,plante,training,plante,2
1606,porte,test,porde,2
1606,raisin,unused,[eng],2
1606,rat,unused,[eng],2
1606,reine,test,reime,2
1606,robe,test,rope,2
1606,sac,training,sac,2
1606,savon,unused,[eng],2
1606,singe,test,sinche,2
1606,soupe,unused,[eng],2
1606,stylo,unused,[eng],2
1606,tasse,test,taze,2
1606,tete,training,tete,2
1606,train,unused,[eng],2
1606,vache,test,vage,2
1606,ventilateur,unused,[eng],2
1606,viande,test,viambe,2
