subject_id,word_original,stage,word,knows
1620,assiette,unused,[eng],2
1620,avion,unused,[eng],2
1620,bateau,unused,[eng],2
1620,bisous,unused,[eng],2
1620,boite,test,boipe,2
1620,botte,test,bope,2
1620,bouche,training,bouche,2
1620,brosse,test,broze,2
1620,bus,unused,[eng],2
1620,camion,unused,[eng],2
1620,carte,unused,[eng],2
1620,chaine,test,chaime,1
1620,chaise,test,chaisse,2
1620,chapeau,unused,[eng],2
1620,chaussette,unused,[eng],2
1620,clown,test,clowm,1
1620,corde,test,corbe,1
1620,couche,test,couge,1
1620,couette,training,couette,1
1620,crepe,test,crebe,1
1620,crotte,test,crope,1
1620,cuillere,unused,[eng],2
1620,douche,test,douge,2
1620,fraise,test,fraisse,2
1620,frites,training,frites,2
1620,fruit,unused,[eng],1
1620,gateau,unused,[eng],2
1620,glace,training,glace,2
1620,goutte,test,goupe,1
1620,lait,unused,[eng],2
1620,lampe,training,lampe,2
1620,langue,test,lanque,0
1620,lit,unused,[eng],2
1620,livre,unused,[eng],2
1620,lune,test,lume,2
1620,manteau,unused,[eng],2
1620,monde,test,mombe,1
1620,mouton,unused,[eng],1
1620,noix,unused,[eng],1
1620,nuage,unused,[eng],2
1620,pates,test,papes,2
1620,pied,unused,[eng],2
1620,plante,training,plante,1
1620,porte,test,porde,2
1620,raisin,unused,[eng],2
1620,rat,unused,[eng],0
1620,reine,test,reime,1
1620,robe,test,rope,1
1620,sac,training,sac,2
1620,savon,unused,[eng],2
1620,singe,test,sinche,1
1620,soupe,unused,[eng],2
1620,stylo,unused,[eng],2
1620,tasse,test,taze,2
1620,tete,training,tete,2
1620,train,unused,[eng],2
1620,vache,test,vage,2
1620,ventilateur,unused,[eng],0
1620,viande,test,viambe,2
