subject_id,word_original,stage,word,knows
1622,assiette,unused,[eng],2
1622,avion,unused,[eng],2
1622,bateau,unused,[eng],2
1622,bisous,unused,[eng],2
1622,boite,test,boipe,2
1622,botte,test,bope,2
1622,bouche,training,bouche,2
1622,brosse,test,broze,2
1622,bus,unused,[eng],2
1622,camion,unused,[eng],2
1622,carte,unused,[eng],2
1622,chaine,test,chaime,2
1622,chaise,test,chaisse,2
1622,chapeau,unused,[eng],2
1622,chaussette,unused,[eng],2
1622,clown,test,clowm,2
1622,corde,test,corbe,2
1622,couche,test,couge,2
1622,couette,training,couette,2
1622,crepe,test,crebe,2
1622,crotte,test,crope,2
1622,cuillere,unused,[eng],2
1622,douche,test,douge,2
1622,fraise,test,fraisse,2
1622,frites,training,frites,2
1622,fruit,unused,[eng],2
1622,gateau,unused,[eng],2
1622,glace,training,glace,2
1622,goutte,test,goupe,2
1622,lait,unused,[eng],2
1622,lampe,training,lampe,2
1622,langue,test,lanque,2
1622,lit,unused,[eng],2
1622,livre,unused,[eng],2
1622,lune,test,lume,2
1622,manteau,unused,[eng],2
1622,monde,test,mombe,2
1622,mouton,unused,[eng],2
1622,noix,unused,[eng],2
1622,nuage,unused,[eng],2
1622,pates,test,papes,2
1622,pied,unused,[eng],2
1622,plante,training,plante,2
1622,porte,test,porde,2
1622,raisin,unused,[eng],2
1622,rat,unused,[eng],2
1622,reine,test,reime,2
1622,robe,test,rope,2
1622,sac,training,sac,2
1622,savon,unused,[eng],2
1622,singe,test,sinche,2
1622,soupe,unused,[eng],2
1622,stylo,unused,[eng],2
1622,tasse,test,taze,2
1622,tete,training,tete,2
1622,train,unused,[eng],2
1622,vache,test,vage,2
1622,ventilateur,unused,[eng],2
1622,viande,test,viambe,2
