subject_id,word_original,stage,word,knows
1607,assiette,unused,[eng],2
1607,avion,unused,[eng],2
1607,bateau,unused,[eng],2
1607,bisous,unused,[eng],2
1607,boite,test,boipe,2
1607,botte,test,bope,1
1607,bouche,training,bouche,2
1607,brosse,test,broze,2
1607,bus,unused,[eng],2
1607,camion,unused,[eng],2
1607,carte,unused,[eng],1
1607,chaine,test,chaime,1
1607,chaise,test,chaisse,2
1607,chapeau,unused,[eng],2
1607,chaussette,unused,[eng],2
1607,clown,test,clowm,2
1607,corde,test,corbe,2
1607,couche,test,couge,2
1607,couette,training,couette,0
1607,crepe,test,crebe,2
1607,crotte,test,crope,1
1607,cuillere,unused,[eng],2
1607,douche,test,douge,1
1607,fraise,test,fraisse,1
1607,frites,training,frites,2
1607,fruit,unused,[eng],1
1607,gateau,unused,[eng],1
1607,glace,training,glace,2
1607,goutte,test,goupe,1
1607,lait,unused,[eng],2
1607,lampe,training,lampe,2
1607,langue,test,lanque,2
1607,lit,unused,[eng],2
1607,livre,unused,[eng],2
1607,lune,test,lume,2
1607,manteau,unused,[eng],1
1607,monde,test,mombe,0
1607,mouton,unused,[eng],1
1607,noix,unused,[eng],0
1607,nuage,unused,[eng],2
1607,pates,test,papes,2
1607,pied,unused,[eng],2
1607,plante,training,plante,1
1607,porte,test,porde,2
1607,raisin,unused,[eng],1
1607,rat,unused,[eng],0
1607,reine,test,reime,1
1607,robe,test,rope,1
1607,sac,training,sac,2
1607,savon,unused,[eng],2
1607,singe,test,sinche,1
1607,soupe,unused,[eng],1
1607,stylo,unused,[eng],1
1607,tasse,test,taze,2
1607,tete,training,tete,2
1607,train,unused,[eng],1
1607,vache,test,vage,1
1607,ventilateur,unused,[eng],1
1607,viande,test,viambe,2
